Name,Address,P.O.Box,Phone,Mobile,Email,Webpage,Fax,Country,City
Alpine International Namuna Higher Secondary School,Sunsari,,522572,,,,,,
Alpine Valley School,Chandol,,4422672,,alpinevs@mail.com.np,www.avschool.net,,,
Amar Adarsha English School,Mulpani,,"2141516,4467474",,,,,,
Amar Adarsha School,Kapan-3,,16226206,,,,,,
Amar English High School,Tokha,,6221143,,,,,,
Amar English Secondary School,Tokha,,4217117,,,,,,
Amar Higher Secondary School,"Bihunkot,Baglung",,068-529302,,,,,,
Amar Jyoti Boarding School,Kalanki,,"4273159,4288338",,,,,,
Amar Jyoti Boarding School,Matepani,,521183,,,,,,
Amar Sahid Dasarathchandra Higher Secondary School,Bardiya,,084-460138,,,,,,
Amar Shishu Vidyalaya,Kopundole,"1476,Ltp",5522172,,,,,,
Amarjyoti Higher Secondary School,Surkhet,,083-520574,,,,,,
Amarpur Higher Secondary School,Panchthar,,024-529130,,,,,,
Amarsingh Higher Secondary School,Pokhara-20,,"520359,524894",,,,,,
Amber Everest Boarding School,Bharatpur,,056-520363,,,,,,
Ambition,OldBaneshwor,,4470880,,info@ambition.edu.np,,,,
Ambrosia Ideal Secondary School,Satungal,,"4310618,4312330",,,,,,
Ameeti Higher Secondary School,"Charpane,Jhapa",,023-540486,,,,,,
Amrit Aadarsha Higher Secondary School,Baglung-2,,068-520258,,,,,,
Amrit Adarsha Secondary Boarding School,Baglung,,"068-520331,520664",,,,,,
Amrit Secondary Boarding School,"Mhenpi,Nayabazar",,4358722,,,,,,
Anal Jyoti Secondary Boarding School,Sunakothi,,"5570185,5572718",,,,,,
Ananda Bhumi Higher Secondary School,Maitidevi,"13664,Ktm","4421453,4429442",,abbhs@ntc.net.np,,,,
Ananda Higher Secondary School,Surkhet,,083-529318,,,,,,
Ananda Kuti Vidyapeeth School,Swayambhu,,"4271499,4272063",,,,4270826,,
Ananda Vidya Mandir,Koteshwor,,6630731,,,,,,
Anandakuti Vidyapeeth Boarding High School,Swoyambhu,,"4272063,4271499",,akvp@infoclub.com.np,,4270826,,
Anant Secondary School,Siddhipur,,5581025,,anantschool@wlink.com.np,,,,
Angel Lord Academy High School,Koteshwor,"1571,Ktm",4601241,,angel_lord98@yahoo.com,,,,
Angel's Boarding School,Bhotebahal,,4256285,,,,,,
Angels Garden School,Kapan-3,,4810738,,,,,,
Angels Homes School,Chabahil-7,,4491655,,,,,,
Angels World Int'l School,Baneshwor,,9851063883,,,,,,
Angels' Garden Academy,Samakhushi,,4366143,,,,,,
Angels' Heart Secondary School,Manamainju,,"4027233,4027244",,info@angels.edu.np,angels.edu.np,,,
Ankur Shikshya Niketan,Teenkune,,4112415,,ankukul@hotmail.com,,,,
Ankur Vidyashram School,Battisputali,,4110200-201,,,,,,
Anmol Jyoti Sec. School,Bhimsengola,,"4499807,2042476",,,,,,
Anmol Jyoti Secondary English Boarding School,Maligaun,"2800,Ktm",4429248/49,,rs_anmol_school_om@hotmail.com,www.nepal-schools.com/anmol,,,
Annapurna College,"Jyatha,Kantipath",,"4249641,4249739",,annaschool@wlink.com.np,,,,
Annapurna English Secondary School,Sinamangal,,"4112190,6630218",,annapurnaschool@yahoo.com,,,,
Annapurna Higher Secondary School,"Kalagaun,Achham",,097-620119,,,,,,
Annapurna Higher Secondary School,Kantipath,,"4249641,4249739",,annaschool@wlink.com.np,,,,
Anshubarma Higher Secondary School,Bardia,,084-429454,,,,,,
Antra School Of Music & Dance,"Maharajgunj,Chakrapath",,"9851017020,2313778",,,,,,
Anupam Secondary Boarding School,Lazimpat,"11826,Ktm",4422726,,info@avs.edu.np,,,,
Anupam Vidya Sadan Higer Secondary School,Lazimpat,,"4422726,4427598",,,,,,
Apex Academy Higher Secondary School,Chitwan,,056-526027,,,,,,
Apex Life School,MidBaneshwor,,"4470877,4469113",,apexlifeschool@gmail.com,,,,
Apollo International Academy,Subidhanagar,,"2052526,4111569",,apolloacademy@rocketmail.com,,,,
Apollo International Academy P. Ltd.,"Subidhanagar,Tinkune",,"4111569,2052526",,,,,,
Appex Higher Secondary School,Bharatpur,,056-526027,,,,,,
Aradhana Academy Boarding School,Mitrapark,,4353659,,aradhanaacademy@hotmail.com,,,,
Araniko English Boarding School,Banepa,,661278,,,,,,
Araniko Higher Secondary School,Morang,,525123,,,,,,
Araniko Memorial Boarding School,SiddharthaMarga,,522150,,,,,,
Arghakhanchi Higher Secondary School,"Sandhikharka,Arghakhanchi",,077-420121,,,,,,
Aristota Boarding School,"CampusRoad,Kailali",,091-522569,,,,,,
Arjai Higher Secondary School,"Arjai,Gulmi",,079-529300,,,,,,
Arjun Boarding School,"Tamghas-1,Gulmi",,079-520176,,,,,,
Arniko Awasiya Higher Secondary School,Morang,,525123,,,,,,
Arniko Boarding School,Bhotebahal,,4253903,,abhs@wlink.com.np,,,,
Arniko Boarding School,Tintoliya,,525123,,,,,,
Arpan Secondary Boarding School,Deurali-3jhylbasNP,,78540410,,,,,Nepal,
Arun English School,Jayabageshwori,,16215967,,,,,,
Arun Jyoti Vidya Mandir H.,"Baudha,Jorpati",,4484520,,arunschool@yahoo.com,,,,
Arundeep Academy,Mid-Baneshwor,,4470773,,,,,,
Arunima College,Boudha,,"4470223,4478574",,arunimacollege@gmail.com,www.arunima.edu.np,,,
Arunima Educational Foundation,Boudha,,"4470223,4478574,2296894",,,,,,
Arunima Higher Secondary School,Boudha,,"4470223,4478574",,arunimaschool@wlink.com.np,,,,
Arunima Shishu Sadan,"Boudha,Mahankal",,4489649,,arunima1@ntc.net.np,www.arunima.edu.np,,,
Arunodaya Academy,Bijayashwori,,4672362,,info@arunodaya.edu.np,www.arunodaya.edu.np,,,
Arunodaya Boarding School,Dharan,,520720,,,,,,
Arunodaya High School,Mandikhatar-9,,4378653,,,,,,
Arunodaya Higher Secondary School,Chitwan,,056-529333,,,,,,
Arunodaya Madhyamik Bidyalaya,Jorpati,,4470368,,,,,,
Asha English School,Ratopul,,4412057,,,,,,
Asha Mandir High School,Maitidevi,,"4417527,4429260",,,,,,
Ashirvad English Boarding School,Baluwatar,,"4430446,4431679",,,,,,
Ashirwad College,Samakhushi,,4352589,,ashirwadcollege@hotmail.com,,,,
Ashish English Boarding School,Jawalakhel,,5000269,,abeschool@yahoo.com,,,,
Asian College of Higher Studies,Ekatakuna,8975EPC1060,"5000266,5000156",,info@acm.edu.np,www.acm.edu.np,,,
Asian Public School,Anamnagar,,"4771016,4770624",,,www.asianpublicschool.edu.np,,,
Asmita English School,Sainbu-4,8975EPC1251,5591288,,asmitaschool@yahoo.com,,,,
Asphodel Public School,Kalikasthan,,4432596,,bivakalika@wlink.com.np,,,,
Atisha Primary School,Ekantakuna,"9574,Ktm",5526277,,,,,,
Awareness International Academy (AIA),Shankhamool,24976,"4782629,4782712",,awareness_2006@hotmail.com,www.aiaschool.edu.np,,,
B. R. L. Memorial School,Kupondole,"594,Ktm",5541835,,brl@wlink.com.np,,,,
B.N. Academy (Basundhara National Academy),Dhapasi-9,,"4356521,016203022",,,,,,
B.P. Memorial Int'l Academy,Jitpurphedi-1,,"2002122,2171501",,,,,,
Baal Vidya Griha High School,Kumaripati,8975EPC523,5546323,,,,,,
Baba Batika Secondary School,Tilganga,,"4112818,9751005345",,,,,,
Baba Boarding High School,Chabahil,,"4471631,4474457",,babab@mail.com.np,www.baba.edu.np,4474493,,
"Baba Boarding High School, Baba Academy,Baba Kinderworld",ChabihalKathmandu,,4471631,,baba@ccsl.com.np.,www.baba.edu.np,4474493,,
Baba Kinderworld Pre School,Chabahil,,"4471631,4474457",,babab@mail.com.np,www.baba.edu.np,4474493,,
Baby Angel English School,Dallu,,4278323,,,,,,
Babyland English Secondary School,Gongabu,,4353552,,info@babylandess.com,www.babylandess.com,,,
Babylon National School,Shantinagar,,"4108073,4108905",,babylon@mail.com.np,,,,
Bagh Bhairab Boarding School,Kirtipur,"4164,Ktm",4330141,,,,,,
Bagmati Boarding Higher Secondary School,Sukedhara,"8312,Ktm","4372218,4374887",,bmc@hotmail.com,,,,
Bagmati English Boarding School,WankhyoTole,,662220,,,,,,
Bahuudesya Public High School,Dharan-12,,520267,,,,,,
Baijanath Higher Secondary School,Kanchanpur,,099-521330,,,,,,
Bal Ankur Secondary Boarding School,Lalitpur,,5570041,,,,,,
Bal Bidya Boarding School,RamBazar,,521644,,,,,,
Bal Bikash Boarding School,Budhanilkantha,,4373781,,shresthamahesh@hotmail.com,,,,
Bal Bikash Pratisthan,Gaurinagar-7,,4486184,,,,,,
Bal Deeksha Sadan,Gwarko,,5540623,,bdsschool@wlink.com.np,,,,
Bal Geetanjali English High School,Mulpani,,6222999,,,,,,
Bal Geetanjali School,Chandol-4,,2081693,,,,,,
Bal Janata Higher Secondary School,Dang,,083-529023,,,,,,
Bal Jyoti Secondary School,Piple,,520145,,,,,,
Bal Kalyan Vidya Mandir Secondary Boarding School,Biratnagar,,"526960,526295",,,,,,
Bal Kumari English School,Narayangadh,,"056-521295,520964",,,,,,
Bal Kumari Rastriya Prathamik Vidyalaya,Narayangadh,,056-521260,,,,,,
Bal Kumari Secondary School,Narayangadh,,056-520505,,,,,,
Bal Namuna Secondary School,Baluwatar,,4438749,,,,,,
Bal Prabhat Boarding School,NewRoad,,526237,,,,,,
Bal Sewa Secondary School,Jhonchhe,,4247440,,,,,,
Bal Sirjanalaya English Boarding High School,Jorpati,,4478122,,,,,,
Bal Tara Pratishthan,Balambu,,4310562,,,,,,
Bal Udhyan B. H. School,Dillibazar,,4417749,,,,,,
Bal Vidhya Mandir School,Bhaktapur,"11174,Ktm",2023705,,,,,,
Bal Vinod Ma. Vi.,Nahtole,,5524552,,,,,,
Balambu Secondary School,Balambu,,4310541,,,,,,
Balkalyan Higher Secondary School,"Liwang-5,Rolpa",,086-449111,,,,,,
Balkiran Boarding School,Panchthar,,024-520015,,,,,,
Balkot English Secondary School,BalkotChowk,8975EPC5353,"6631447,6631454",,,,,,
Balkumari Higher Secondary School,Chitwan,,056-520505,,,,,,
Balmiki Bidhya Niketan,Bhaktapur,,6613922,,,,,,
Balmiki Secondary School,Biratnagar-11,,524445,,,,,,
Balodaya Secondary Boarding School,Pardi,"178,Pkr","463664,525442",,bebs@fewanet.com.np,,,,
Bandana Eng. School,Kalanki,,4288604,,,,,,
Banepa Valley Boarding School,Banepa,,663165,,,,,,
Baneshwor Campus,Shantinagar,"11570,Ktm","4620310,4620332",,baneshworcampus2047@yahoo.com,www.baneshworcampus.edu.np,,,
Banke Shikshya Higher Secondary School,Nepalgunj,,520310,,,,,,
Bansa Gopal Madhyamik Vidyalaya,Chaughada,,520192,,,,,,
Barahi Higher Secondary School,Kaski,,520360,,,,,,
Barahi Madhyamik Vidyalaya,MalePatan,,520360,,,,,,
Basanta Ritu B. H. School,Samakhusi,,4353522,,,,,,
Basic Learning Sec. School,Satungal,,4314397,,,,,,
Basu Secondary School,Bhaktapur,,"6619014,6615257",,,,,,
Basundhara Public School,Bisalnagar,,4435662,,,,,,
Bauddha Secondary School,Baudha,"11483,Ktm",4472380,,bsef@enet.com.np,,,,
Baylor International Academy,Banepa,,"9841437825,9841006294",,,,,,
BDS Higher Secondary School,Gwarko,,"5546744,5542642,5535644",,bdsschool@wlink.com.np,,,,
Beersheba Natioal Higher Secondary School,"Nagarjun-7,Kathandu",,15140012,9856048185,beershebaschool053@gmail.com,,,Nepal,
Beginners' English School,Putalisadak,"12184,Ktm","4228699,4227633",,,,,,
Bella Pre-School,Chhauni,"20061,Ktm",4285277,,bella@infoclub.com.np,,,,
Bhadgaun Sinuwari Higher Secondary School,Jhumka,,"562206,562037",,,,,,
Bhadraghale Multiple College,Baneshwor,,"4479768,9841311055",,,,,,
Bhagawati Higher Secondary School,"Sittad,Baitadi",,095-521053,,,,,,
Bhagwati Higher Secondary School,Khotang,,036-429122,,,,,,
Bhagwati Higher Secondary School,"Okhre,Terhathum",,026-460116,,,,,,
Bhairab Nawadip Higher Secondary School,"Chhahara,Palpa",,075-529377,,,,,,
Bhairahawa Higher Secondary School,Rupandehi,,520933,,,,,,
Bhakta Vidyashram,Raktakali,,4264177,,,,,,
Bhaktapur English Secondary School,Sanothimi,,"6630666,9841377862",,besscreation@wlink.com.np,,,,
Bhakti International Academy,Bansbari,"24429,Ktm","4372520,9841315452",,bhakti_iacademy@yahoo.com,,,,
Bhakti Namuna Higher Secondary School,"Vodebadar,Lamjung",,066-529444,,,,,,
Bhanjyang Higher Secondary School,Taplejung,,024-469003,,,,,,
Bhanodaya Higher Secondary School,Bajura,,097-540333,,,,,,
Bhanu Bhakta Higher Secondary School,Syanja,,075-529555,,,,,,
Bhanu Higher Secondary School,"Paundi,Baglung",,068-529388,,,,,,
Bhanu Madyamik Bidyalaya,Goligarah,,520539,,,,,,
Bhanu Memorial English Boarding School,"CollegeRoad,Biratnagar",,524312,,bhanu@ccsl.com.np,,,,
Bhanubhakta Higher Secondary School,"Mangalbare,Ilam",,027-529005,,,,,,
Bhanubhakta Memorial English School,"Dangihat-5,Laxmimarga",,021-545182,,,,,,
Bhanubhakta Memorial Higher Sec. School,"Panipokhari,Ktm","10597,Ktm","4415538,4413586",,info@bhanu.edu.np,,4426931,,
Bhanubhakta Memorial Higher Secondary School,Panipokhari,,"4415538,4413586",,,,,,
Bharawi Science Academy,Dharan,,521871,,,,,,
Bhasha Higher Secondary School,"Kagate,Dhankuta",,026-520583,,,,,,
Bhassara Secondary Boarding School,Gabahal,8975EPC1020,5523065,,bhassara@wlink.com.np,,,,
Bhawani Bhairab Adarsha Higher Secondary School,"Khasauli,Palpa",,075-529399,,,,,,
Bhawani Higher Secondary School,Gorkha,,064-429338,,,,,,
Bhawani Higher Secondary School,Sindhuli,,047-520235,,,,,,
Bhawani Kalika Higher Secondary School,Bhawanichowk,,461124,,,,,,
Bhawaniprasad Sakalprasad Ramprasad Janata Higher Sec. H. School,"Kalyanpur,Saptari",,031-520262,,,,,,
Bhim Awasiya Vidyalaya,ChaukiTole,,520242,,,,,,
Bhimsen Higher Secondary School,"Bihun,Baglung",,068-529302,,,,,,
Bhirkuti Secondary School,Mahankal,,"4821837,4497752",,reachbhrikuti@hotmail.com,,,,
Bhola Singh Lions Mithila English School,ZeroMile,,520770,,,,,,
Bhrihaspati Vidhya Sadan Secondary School,Naxal,"7763,Ktm","4418031,4418030",,bvs@ntc.net.np,,,,
Bhrikuti Higher Secondary School,Nepalgunj,,520563,,,,,,
Bhrikuti Secondary Boarding School,"Itahari-1,Sunsari",,580891,,,,,,
Bhrikuti Women School,"Milanchowk,NewBaneshwor",,"4495323,2296254",,,,,,
Bhutandevi Madhyamik Vidyalaya,SchoolRoad,,520420,,,,,,
Bibek Secondary Boarding School,Sinamangal,,"2063131,4412884",,,,,,
Bibhuti Pragya Niketan,Dhumbarai,,"4431939,4425617",,,,,,
Bibhuti Vidya Mandir English School,Chandragadi-6,,023-520683,,,,,,
Bibhuti Vidya Mandir English School,Chandragadi-6,,520770,,,,,,
Bidhya Nilkantha School,Dang,,082-560308,,,,,,
Bidur English Boarding Secondary School,"Bhadrapur-5,Jhapa",,"023-520226,520835",,,,,,
Bidya Sagar Secondary School,Kavre,,661999,,,,,,
Bidyadaya English School,Dallu,,4281121,,,,,,
Bidyarthi Niketan Secondary School,Bhaktapur,,6610386,,,,,,
Bijay Smarak Secondary School,Dillibazar,,4412479,,,,,,
Bijaya Higher Secondary School,Dailekh,,089-429514,,,,,,
Bijayapur Awasiya Higher Secondary School,Bijaypur,,520616,,,,,,
Bijeshwari Gyan Mandir Secondary School,Swayambhu,,"4671552,4271498",,,,,,
Bijeswori Secondary School,Bijeshwori,,"2012307,2012307",,bbschool@wlink.com.np,,,,
Bikalpa Gyan Tatha Bikas Kendra,"Boudha,MahankalPhant","23365,Ktm",4480085,,bikalpa@bikalpa.org,www.bikalpa.org,4471179,,
Binayak English School,OldBaneshwor,,"4468161,4106104",,,,,,
Bindabasini Madhyamik Vidyalaya,BatuleChaur,,440065,,,,,,
Bindhyabasini High School,Tokha,,"4375412,4370175",,,,,,
Bipul Siksha Niketan,Jorpati,,4475246,,,,,,
Birat Boarding School,Shankhamul,,"4783212,4600628",,,,,,
Birat Boarding School,Handigaun-5,,"2081275,016202075",,,,,,
Birat English Secondary School,"Sanothimi,Bhaktapur",,6637095,,info@bes.edu.np,www.bes.edu.np,,,
Birbhakti Higher Secondary School,"Tarkughat,Lamjung",,066-529444,,,,,,
Birendra Aishwarya Vidhya Sadan B.,Budhanilkantha,,4650289,,,,,,
Birendra Higher Secondary School,Arghakhanchi,,077-429377,,,,,,
Birendra Higher Secondary School,Baitadi,,095-520137,,,,,,
Birendra Higher Secondary School,Bhojpur,,029-429201,,,,,,
Birendra Jyoti Higher Secondary School,"Sotang,Solukhumbhu",,038-621216,,,,,,
Birendra Sainik Awasiya Mahavidhyala,Sallaghari,,"6610051,6610872",,sainikschool@bsamb.edu.np,,6610331,,
Birendra Vidhyamandir Higher Secondary School,"Tikapur,Kailali",,091-560220,,,,,,
Birta Higher Secondary School,"Birtamod,Jhapa",,"023-541233,540968",,,,,,
Bishnu Budhanilkantha Eng. School,Budhanilkantha,,"4373785,4378105",,dimondem@hotmail.com,,,,
Bishnu Memorial Boarding School,Dharan,,520816,,,,,,
Bishnudevi Shikshya Sadan,Satungal,,4310402,,,,,,
Bishnumati (BST) College,Gongabu,,"4354704,4353708",,bstcollege@wlink.com.np,www.bstcollege.edu.np,,,
Bishnumati Secondary Boarding School,Gongabu,,4353708,,bstcollege@wlink.com.np,,,,
Bishwa Adarsha Higher Secondary School,Itahari,,582163,,,,,,
Bishwa Shanti Higher Secondary School,Deurali,,529301,,,,,,
Bishwa Shiksha Sadan,Chabahil,,"4484212,4484508",,bss_ert@yahoo.com,,,,
Blooming Scholars' Academy,Anamnagar,,4232343,,school.bsa@gmail.com,,,,
Blooms Academy,Tahachal,,4276828,,,,,,
Blossom Academy,Gurjutar,,4370944,,,,,,
Blue Bell English School,Baneshwor,,4108394,,bluebell2062@yahoo.com,,,,
Blue Bird College,Kumaripati,8975EPC2750,"5538944,5555142",,info@bluebird.edu.np,www.bluebird.edu.np,,,
Blue Bird English School,Thaiba,,16915806,,,,,,
Blue Bird School,Maijubahal,,"4487612,4374859",,,,,,
Blue Horizon Academy,Lazimpat,,4432797,,,,,,
Blue Sun School,Hadigaun,,4431779,,bluesun@htp.com.np,,,,
Blue Sun School,Swambhu,,4301917,,,,,,
Blue Wren Int'l B. H. School,Kalanki,,4272237,,,,,,
Bluebird Secondary School,Maharajgunj,"4157,Ktm",4418134,,,,,,
Boarding Madhyamik Bidyalaya,Dharan,,520227,,,,,,
Boarding Middle School,Itahari,,"580323,580586",,,,,,
Bon Skylark International School,Chabahil,,4478537,,bonsl@enet.com.np,,,,
Bostan English School,Gyaneshwor,,"4411362,4410076",,,,,,
Boudha Children Heaven H.,Boudha,,4820722,,,,,,
Boudha English Secondary School,Boudha,"11483,Ktm",4472380,,,,,,
Brainland Academy,Tinkune,,2052526,,,,,,
Bramharupa Higher Secondary School,Lekhnath-13,,529344,,,,,,
Bridgewater International School,Lazimpat,,4001020,,info@bridgewaternepal.com,www.bridgewaternepal.com,,,
Bright Angels' Boarding School,"Mahadevsthan,Checkpost",,"4312449,4313965,9841326793",,,,,,
Bright Future English Boarding School,Dhading,,010-529188,,,,,,
Bright Future High School,Santinagar,,4108150,,,,,,
Bright Future Higher Secondary School,Tanahun,,065-570171,,,,,,
Bright Future School,Satdobato,,5521997,,,,,,
Bright Future Secondary School,"Tinthana-4,Naikap",,"4312178,4312033",,brightfuture12@yahoo.com,,,,
Bright Heaven Boarding School,Balaju,,"4350485,4350108",,,,,,
Bright Land Eng. Sec. School,Balaju,,4356041,,info@brightland.edu.np,,,,
Bright Star English School,Bhaktapur,,"6615203,2133125",,,,,,
Bright Star English School,"Panauti-12,Khopasi",,"011-662841,663752",,,,,,
Brighter Land Secondary Boarding School,Banke,,521324,,,,,,
Brightland School,Nepalgunj,,521324,,,,,,
Brihaspati Higher Secondary School,Hetauda,,521207,,,,,,
Brihaspati Higher Secondary School,Rupandehi,,520138,,,,,,
Brihaspati Vidyasadan,Naxal,,"4418031,4418030",,bvs@ntc.net.np,,,,
British Gorkha Eng. School,Chuchchepati-6,,4469824,,,,,,
British Gurkha Academy,Bansbari,,"4373607,4371814",,,,,,
British Gurkha College,Bansbari,8976EPC4139,"4017806,4378483,4371066,4373607",,bgc@graduate.org,www.britishgurkhacollege.com.np,4378433,,
Brookfield International College,Sinamangal,,"4110646,4492597",,info@brookfield.edu.np,www.brookfield.edu.np,4110573,,
Brookfield Secondary School,Sinamangal,,2191295,,,,,,
Buddha Adarsha Primary Boarding School,Dharan,,520975,,,,,,
Buddha Jyoti English Boarding School,Dallu,,"4270860,4354227",,,,,,
Buddha Prabhat Eng. School,Chabahil,,4498209,,,,,,
Buddha Vidya Mandir,Hetauda,,521232,,,,,,
Buddhajyoti Higher Secondary School,Rupandehi,,520163,,,,,,
Buddhilal Vidhyamunar Higher Secondary School,"Bhagtpur,Saptari",,031-520607,,,,,,
Budha Subba English High School,GangalalRoad,,522693,,,,,,
Budhanilkantha Ashram School,Budhanilkantha,,4370202,,gunjbh@yahoo.com,,,,
Budhanilkantha Higher Secondary School,Narayansthan,"1018,Ktm","4371637,4371670",,bnks-pr@ntc.net.np,,4371640,,
Budhanilkantha School,Morang,,524168,,,,,,
Budhanilkantha School,Budhanilkantha,,"4371637,4371670",,bnks_pr@ntc.net.np,,,,
Budhuk Higher Secondary School,"Budhuk-2,Dhankuta",,026-529538,,,,,,
Butwal Elite English School,Ward3,,540433,,,,,,
Butwal Madyamik Bidyalaya,NayaSadak,,540221,,,,,,
Butwal Public School,"Yogikuti,Butwal",,544794,,butwalpublicschool@indiatimes.com,www.geocities.com/butwalschool,,,
Cambridge Academy,BabarMahal,,4223829,,,,,,
Cambridge College,Kuleshwor,"12765,Ktm","4277063,4279626",,,www.cambridgecollege.edu.np,,,
Cambridge Int'l Boarding Higher Secondary School,PuranoNaikap,,4273858,,,,,,
Cambridge Public High School,OldBaneshwor,,"4467161,4464235",,cpschool_np@yahoo.com,,,,
Cambridge Public School,Saraswotinagar,,"2061089,4460103",,,,,,
Camellia English School,PushpalalMarga,,525340,,,,,,
