Name,Address,City,Country,Phone,P.O.Box,Email,Mobile,Webpage,Fax,Updatedon
Atharva Business College,Bansbari,Kathmandu,Nepal,00977-1-4372966,,atharvabusinesscollege@gmail.com,,www.atharvacollege.edu.np,,2015-09-25
Atlantic International College,Thamel,Kathmandu,Nepal,"00977-1-4022514,4022614",,info@atlantic.edu.np,,www.atlantic.edu.np,,2010-09-29
Ayurved Campus,Nardevi,Kathmandu,Nepal,"00977-1-4259743,4278479",,,,,,2009-11-07
Ayurved Campus,Kirtipur,Kathmandu,Nepal,"00977-1-4332562,4333947",,,,,	00977-1-4333947,2009-11-07
B & B Medical Institute,Gwarko,Lalitpur,Nepal,"5202381,5202152",,bmicollege@hotmail.com,,,,2015-09-25
B. P. Koirala Institute of Health & Science,Dharan,Dharan,Nepal,025-525555Ext.4009,,academic@bpkihs.edu,,www.bpkihs.edu,	025-520251,2009-11-07
B. P. Koirala Institute of Health & Science,KtmContact,Kathmandu,Nepal,00977-1-4372263,"7053,Ktm",academic@bpkihs.edu,,www.bpkihs.edu,,2011-05-01
Babai Multiple Campus,Bardia,Bardiya,Nepal,084-420129,,,,,,2009-11-07
Badamalika Campus,Bajura,Bajura,Nepal,097-540335,,,,,,2009-11-07
Bageshwori Campus,Nepalgunj,Nepalgunj,Nepal,081-540086,,,,,,2009-11-07
Bagmati Modern College,Sukedhara,Kathmandu,Nepal,"00977-1-4374881,4374887,4372218",,,,,,2009-11-07
Balaju School of Engineering & Technology,Balaju,Kathmandu,Nepal,"00977-1-4350228,4350213","4897,ktm",info@bset.org.np,,www.bset.org.np,	00977-1-4350214,2009-11-07
Balkumari Mulitple Campus,Narayangadh,Chitwan,Nepal,056-521842,,,,,,2009-11-07
Balmiki Vidhyapith,ExhibitionRoad,Kathmandu,Nepal,"00977-1-4227193,4227676",,,,,,2009-11-07
Baneshwor Campus,Shantinagar,Kathmandu,Nepal,"00977-1-4620310,4620332","11570,Ktm",info@baneshworcampus.edu.np,,www.baneshworcampus.edu.np,,2009-11-07
Barun Campus,"Khandbari,Sankhuwasabha",Bhojpur,Nepal,029-560195,,,,,,2009-11-07
BCB College,Duwakot,Bhaktapur,Nepal,6612809,,,,,,2009-11-07
BEF Campus,Gyaneshwor,Kathmandu,Nepal,"00977-1-4430126,2239678",,admin@bef.edu.np,,,,2010-11-26
Bhagyodaya Campus,Sankhu,Kathmandu,Nepal,00977-1-4450769,,,,,,2009-11-07
Bhairahawa Campus,ShantiNagar,Bhairahawa,Nepal,520205,,,,,,2009-11-07
Bhairawa Medical College,Bhairawa,Bhairahawa,Nepal,"522896,522938,523230",,,,,,2009-11-07
Bhaktapur Multiple Campus,Bhaktapur,Bhaktapur,Nepal,"6610200,6613199",,,,,,2009-11-07
Bhanu Sanskrit Vidhyapeeth,Tanahu,Tanahu,Nepal,065-529334,,,,,,2009-11-07
Bheri Nursing College,Banke,Nepalgunj,Nepal,081-527952,,aruinshah11@gmail.com,9848031951,www.bherinursingcollege.com,,2011-02-18
Bhojpur Campus,Bhojpur,Bhojpur,Nepal,029-420106,,,,,,2009-11-07
Bhrispati College,Siddharthanagar,Bhairahawa,Nepal,"071-522944,546479",,,,,	071-524540,2009-11-07
Bill Gates Faculty of Information Technology,KediaSewaGram,Birgunj,Nepal,"051-528793,522092",,kedia@atcnet.com.np,,,	051-522086,2009-11-07
Bindabasini Sanskrit Vidhyapeeth,Pokhara,Pokhara,Nepal,061-523352,,,,,,2009-11-07
Bir Hospital Nursing Campus,Kathmandu,Kathmandu,Nepal,"00977-1-4220105,4230761",,birnursing_nams@yahoo.com,,,,2009-11-07
Birat Medical College & Teaching Hospital Pvt. Ltd.,Tankisinwari,Biratnagar,Nepal,9851115307,,info@biratmedicalcollege.com,,www.biratmedicalcollege.com,,2014-11-04
Birat Science Campus,RoadcessChowk,Biratnagar,Nepal,021-521278,"218,Biratnagar",,,,,2009-11-07
Birendra Memorial College,Dharan-4,Dharan,Nepal,025-527320,,bmc_science@yahoo.com,,,,2009-11-07
Birendra Multiple Campus,Bharatpur,Chitwan,Nepal,056-520689,,,,,,2009-11-07
Birendra Sainik Residential Campus,Sallaghari,Bhaktapur,Nepal,"6610051,6610872",,bsmb@rna.mil.np,,,	6610331,2009-11-07
Birendranagar Multiple Campus,Birendranagar,Surkhet,Nepal,083-520228,,,,,,2009-11-07
Birgunj Campus,Birgunj,Birgunj,Nepal,522580,,,,,,2009-11-07
Birgunj Commerce Campus,Birgunj,Birgunj,Nepal,051-523485,,,,,,2009-11-07
Bishwo Bhasa Campus,ExhibitionRoad,Kathmandu,Nepal,"00977-1-4226713,4258132,4228916",,vishwo@biva.wlink.com.np,,,	00977-1-4255738,2009-11-07
Bishwo Niketan Science Campus,Tripureshwor,Kathmandu,Nepal,00977-1-4260996,"8905,Ktm",,,,,2009-11-07
Bishwo Vidhyalaya Vidhyapeeth,Dang,Dang,Nepal,082-529019,,,,,,2009-11-07
Boston International College,HakimChowk,Chitwan,Nepal,"056-526203,531362",,info@bostoncollege.edu.np,,www.bostoncollege.edu.np,	056-531366,2010-08-23
Bridge International College,Sinamangal,Kathmandu,Nepal,"00977-1-4480069,4481590",,info@bridgewaternepal.com,,www.bridgewaternepal.com,,2010-06-25
Bridgewater International College,Sinamangal,Kathmandu,Nepal,"00977-1-4480069,4481590",,info@bridgewaternepal.com,,www.bridgewaternepal.com,,2010-07-11
Bright Future College,Satdobato,Lalitpur,Nepal,"5534319,5521997",,nrajpaneru@hotmail.com,9851118714,,,2010-07-20
Bright Vision College,Satdobato,Kathmandu,Nepal,"00977-1-5526776,5555864,5524066",,,,,,2009-11-07
Brihaspati College,"Siddharthanagar-5,Rupandehi",Bhairahawa,Nepal,071-522944,,,,,	071-521540,2009-11-07
Brijlalkedia Hindu University,Kalimati,Kathmandu,Nepal,"00977-1-4281734,4270730","929,Ktm",bhudav@wlink.com.np,,,	00977-1-4270973,2009-11-07
Brijlalkedia Hindu University,Birgunj,Birgunj,Nepal,"051-521382,522092",,kedia@atcnet.com.np,,,	051-522560,2009-11-07
Brilliant Multiple Campus,Siphal,Kathmandu,Nepal,"00977-1-4478687,4488714",,,,,,2009-11-07
British Gurkha College,Bansbari,Kathmandu,Nepal,"00977-1-4017806,,4378483,4371066",8975EPC4139,bgc@graduate.org,,www.britishgurkhacollege.com.np,	00977-1-4378483,2009-11-07
Butwal Campus,SiddharthaRoad,Bhairahawa,Nepal,071-542834,,,,,,2009-11-07
BVC Engineering College,Putalisadak,Kathmandu,Nepal,00977-1-4243879,,,00977-9851088024,,,2011-07-27
Camad College,Sukedhara,Kathmandu,Nepal,"00977-1-4650643,4375100",,info@camadcollege.edu.np,,www.camadcollege.edu.np,,2015-09-23
Cambridge College,Kuleshwor,Kathmandu,Nepal,"00977-1-4277063,4279626","4781,Ktm",kailastk@ccsl.com.np,,,	00977-1-4246571,2009-11-07
Campion College,Kupondole,Lalitpur,Nepal,"5521753,5531436",,ccollege@wlink.com.np,,www.cgmanipal.com,,2010-09-30
Campion Kathmandu College,Gahanapokhari,Kathmandu,Nepal,"00977-1-4431494,4431495",,ckcedu@mos.com.np,,www.cgmanipal.com,,2010-09-30
Campus Takeoff Education Consultancy Pvt. Ltd.,Dillibazar,Kathmandu,Nepal,00977-1-4441686,"2740,Ktm",campustakeoff@yahoo.com,,www.campustakeoff.com,,2009-11-07
Canvas Int'l College,Basundhara,Kathmandu,Nepal,"00977-1-4380304,4354280",,info@canvascollege.edu.np,,,,2009-11-07
Canvas International College,Basundhara,Kathmandu,Nepal,"00977-1-4380304,4354280",,,,,,2011-06-27
Capital College & Research Center,Koteshwor,Kathmandu,Nepal,"00977-1-5100423,5100456","9737,Ktm",info@ccrc.edu.np,,www.ccrc.edu.np,	00977-1-5100781,2009-11-07
Caribbean College,Manbhawan,Lalitpur,Nepal,"5550676,5537314",8975EPC2874,info@caribbean.edu.np,,www.caribbean.edu.np,,2009-11-07
Caspian College of Management & Research Centre,Kumaripati,Lalitpur,Nepal,"5008523,5554208",,info@caspiancollege.com,,www.caspiancollege.com,,2009-11-07
Caspian Valley College,Kumaripati,Lalitpur,Nepal,"5008523,5554208,5524065",8975EPC2685,info@caspiancollege.com,,www.caspiancollege.com,,2009-11-07
Ccma College,NewPlazaMarga,Kathmandu,Nepal,"00977-1-4440708,4438197",,,,,,2011-11-09
Central Campus,Maharajgunj,Kathmandu,Nepal,"00977-1-4422973,4422971","1524,Ktm",mcampus@healthnet.org.np,,,	00977-1-4423771,2009-11-07
Central Campus,Rampur,Chitwan,Nepal,"056-529303,581003",,,,,,2009-11-07
Central Campus,Pokhara,Pokhara,Nepal,061-520469,,,,,,2009-11-07
Central Degree College,Thasikhel,Lalitpur,Nepal,"5001500,5001516",,,,www.cdc.edu.np,,2011-07-17
Central Department of Geography,Kirtipur,Kathmandu,Nepal,00977-1-4330329,,cdg@wlink.com.np,,,	00977-1-4331319,2009-11-07
Central Department of Population Studies/TU,Kirtipur,Kathmandu,Nepal,"00977-1-4330716,4331323,4331319","12161,Ktm",cdps@wlink.com.np,,www.cdps.edu.np,	00977-1-4331324,2009-11-07
Central Engineering Campus,Balkumari,Lalitpur,Nepal,5202414,,info@cec.edu.np,,www.centralengineeringcampus.edu.np,,2011-06-29
Central Engineering College,RamanandChowk,Janakpur,Nepal,"041-527336,527646,523336",,,9854021897,www.cec.edu.np,,2010-01-16
Central Technological Campus,Dharan,Dharan,Nepal,"025-520228,526530",,,,,,2009-11-07
Centre For Professional Studies (COPROS),NewBaneshwor,Kathmandu,Nepal,"00977-1-4781224,4780650",,,,,,2009-11-07
Chahana Int'l College,Kapan,Kathmandu,Nepal,"00977-1-4479017,4811753",,,,,,2009-11-07
Chaitanya Campus,Banepa,Banepa,Nepal,011-661722,,,,,,2009-11-07
Chaturbhujeshwor Janata Campus,"Hariban,Sarlahi",Sarlahi,Nepal,046-529413,,,,,,2009-11-07
Chautara Campus,Chautara,Banepa,Nepal,620142,,,,,,2009-11-07
Chitwan Medical College (Chitwan School of Medical Sciences),KtmContact,Kathmandu,Nepal,00977-1-4005042,,,,www.cmc.edu.np,	00977-1-4005041,2010-12-04
CIST College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4485307,4473934",,askcist@gmail.com,,www.cist.edu.np,	00977-1-4473570,2009-11-07
CIT College & Higher Secondary School,Subidhanagar,Kathmandu,Nepal,"00977-1-4111840,4111655",,admin@cit.edu.np,,www.cit.edu.np,,2009-11-07
Citizen College,Satdobato,Lalitpur,Nepal,"5545684,5545685","392,Ktm",info@citizencollege.edu.np,,www.citizencollege.edu.np,	5545685,2010-09-29
City College,Tinkune,Kathmandu,Nepal,00977-1-41118400,,,,,,2009-11-07
Classic College International (CCI),Tilganga,Kathmandu,Nepal,"00977-1-4110433,4110135,016225708",,,,,,2010-09-30
College for Professional Studies Pvt. Ltd.,Maitidevi,Kathmandu,Nepal,"00977-1-4411805,4424431",,info@lbef.org,,www.lbef.org,	00977-1-4443468,2009-11-07
College for Professional Studies Pvt. Ltd.,HanumanDasRoad,Biratnagar,Nepal,526113,,cps@ntc.net.np,,www.lbef.org,,2009-11-07
College for Professional Studies Pvt. Ltd.,BhanuChowk,Janakpur,Nepal,523887,,cps@lbef.org,,www.lbef.org,,2009-11-07
College for Professional Studies Pvt. Ltd.,Birgunj,Birgunj,Nepal,526555,,cps@lbef.org,,www.lbef.org,,2009-11-07
College for Professional Studies Pvt. Ltd.,Pokhara,Pokhara,Nepal,535735,,cps@lbef.org,,www.lbef.org,,2009-11-07
College of Applied Business,Chabahil,Kathmandu,Nepal,"00977-1-4462736,4476119",,cab@wlink.com.np,,www.cab.edu.np,,2009-11-07
College of Applied Food & Dairy Technology (CAFODAT),Minbhawan,Kathmandu,Nepal,"00977-1-4107234,4107144","11898,Ktm",info@cafodat.edu.np,00977-9849183177,www.cafodat.edu.np,,2009-11-07
College of Applied Sciences Nepal,Kathmandu,Kathmandu,Nepal,"00977-1-016211842,4102687",,,00977-9841349726,,,2010-02-01
College of Biomedical Engineering & Applied Science,Hadigaun,Kathmandu,Nepal,"00977-1-4441467,4437822","12521,Ktm",info@biomedical.edu.np,,www.biomedical.edu.np,,2009-11-07
College of Business Management,Dillibazar,Kathmandu,Nepal,"00977-1-4418869,4439716","3261,Ktm",info@cbm.edu.np,,www.cbm.edu.np,,2009-11-07
College of Computer Technology,Butwal,Bhairahawa,Nepal,"071-540879,546479",,,,,	071-545555,2009-11-07
College of Development Studies,PuranoBaneshwor,Kathmandu,Nepal,00977-1-4471130,"2708,Ktm",cdsnepal@mail.com.np,,www.cds.edu.np,	00977-1-4478945,2009-11-07
College of Education,Nepalgunj,Nepalgunj,Nepal,081-520310,,,,,,2009-11-07
College of Engineering & Management,Banke,Nepalgunj,Nepal,081-526086,,coem.clg@gmail.com,9858020456,www.coem.edu.np,,2017-09-05
College of Engineering And Management,Nepalgunj,Nepalgunj,Nepal,081-526086,,coem.clg@gmail.com,"9848028410,9858020456",www.coem.edu.np,,2015-10-05
College of Film Studies,Gyaneshwor,Kathmandu,Nepal,00977-1-4440402,"11421,Ktm",,,,,2009-11-07
College of Journalism & Mass Communication,Tinkune,Kathmandu,Nepal,"00977-1-2070740,4484397",,,00977-9841324617,www.cjmc.edu.np,,2009-11-07
College of Medical Sciences,Chitwan,Chitwan,Nepal,"056-525012,525013,524203",,info@cmsnepal.edu.np,,www.cmsnepal.edu.np,	56-521527,2010-04-26
College of Software Engineering,Putalisadak,Kathmandu,Nepal,00977-1-4256769,"2438,Ktm",,,,,2009-11-07
College of Technical Science,Kumaripati,Kathmandu,Nepal,"00977-1-2210038,5547479,5001029","23642,Ktm",cots_nursing@yahoo.com,,,,2009-11-07
College of Technology Nepal,Koteshwor,Kathmandu,Nepal,00977-1-4487687,,career@collegeoftechnologynp.com,,,	00977-1-4499099,2009-11-07
"Conflict, Peace and Development Studies",Baneshwor,Kathmandu,Nepal,00977-1-4462988,,info@cpds-tu.edu.np,,www.cpds-tu.edu.np,,2009-11-07
Cosmopolitan College,Chabahil,Kathmandu,Nepal,"00977-1-4462867,4460633,4481893",,info@cosmopolitan.edu.np,,www.cosmopolitan.edu.np,,2010-08-19
Cosmos College of Management & Technology,Tutepani,Lalitpur,Nepal,"5151419,2151806","11713,Ktm",info@cosmoscollege.edu.np,,www.cosmoscollege.edu.np,	5548932,2009-11-07
Cosmos International College,PalikheChowk,Pokhara,Nepal,061-541324,,info@cosmos.edu.np,,www.cosmos.edu.np,,2009-11-07
Counseling Psychology & Social Studies College,NewBaneshwor,Kathmandu,Nepal,00977-1-9741162484,,,00977-9851017617,,,2010-01-18
CPS College,Kumaripati,Lalitpur,Nepal,"5528419,553695",8975EPC2766,info@cps.edu.np,,www.cps.edu.np,	5528419,2009-11-07
Crimson College of Technology,Butwal,Bhairahawa,Nepal,"071-546479,540879",,cct@nec.com.np,,www.cct.edu.np,	071-549879,2009-11-07
Crimson International College,ShankhamulChowk,Kathmandu,Nepal,"00977-1-4784628,4782414","10778,Ktm",info@crimson.edu.np,,www.crimson.edu.np,,2009-11-07
Dadeldhura Campus,Dadeldhura,Dadeldhura,Nepal,096-420189,,,,,,2009-11-07
Damak Campus,Damak,Jhapa,Nepal,023-580132,,,,,,2009-11-07
DAV Business School,Jawalakhel,Kathmandu,Nepal,"00977-1-5534426,5536626","929,Ktm",info@davcollege.edu.np,,www.davcollege.edu.np,	00977-1-5546440,2010-11-24
Deerwalk Institute of Technology,Sifal,Kathmandu,Nepal,00977-1-4485424,,contact@dwit.edu.np,,www.dwit.edu.np,,2011-08-03
Dhangadhi Engineering College,Dhangadhi,Kailali,Nepal,091-521312,,,,,,2009-11-07
Dhankuta Campus,Dhankuta,Dhankuta,Nepal,520297,,,,,,2009-11-07
Dharan Campus,Dharan,Dharan,Nepal,"025-520288,520150",,,,,,2009-11-07
Dhaurali Campus,Teku,Kathmandu,Nepal,00977-1-4240092,,,,,,2009-11-07
Dhulabari Campus,"Dhulabari,Jhapa",Jhapa,Nepal,023-560397,,,,,,2009-11-07
Diamond College,Maharajgunj,Kathmandu,Nepal,00977-1-4371603,,,,,,2010-07-22
Dibyabhumi Multiple College,Kupondole,Lalitpur,Nepal,5541460,,dibyabhumicollege@gmail.com,9841978457,,,2015-12-13
Dillibazar Kanya Multiple Campus,Dillibazar,Kathmandu,Nepal,"00977-1-4417130,4418118,1618014417130",,,,www.dkcollege.edu.np,,2010-04-27
Doti Multiple Campus,Doti,Doti,Nepal,"094-420110,420159",,,,,,2009-11-07
Drabyashah Multiple Campus,Gorkha,Gorkha,Nepal,064-420228,,,,,,2009-11-07
Dronachal Education Campus,Dailekh,Jajarkot,Nepal,089-429514,,,,,,2009-11-07
Duke College,Maharajgunj,Kathmandu,Nepal,"00977-1-4016308,4016058",,info@dukecollege.edu.np,,www.dukecollege.edu.np,,2010-04-29
East-West College Of International Education,Bagbazar,Kathmandu,Nepal,"00977-1-4242525,4238084",,eastwest@lang.wlink.com.np,,www.eastwest.edu.np,,2009-11-07
Eastern Campus,Dharan,Dharan,Nepal,025-520411,,,,,,2009-11-07
Eastern College of Engineering,Pokhariya,Biratnagar,Nepal,"021-538412,526925",,info@eascoll.edu.np,9852026070,,	021-528871,2009-11-07
Eastern Engineering Campus,GangalalMarga,Dharan,Nepal,025-520120,,,,,	025-520405,2009-11-07
Ed-Mark Academy,Kalanki,Kathmandu,Nepal,"00977-1-4270881,4672759",,,,,,2011-07-12
Edu. Bridge P.Ltd.,Maitidevi,Kathmandu,Nepal,"00977-1-4423987,2291262",,edubridge@lbef.org,,,,2009-11-07
Everest College,Lahan-4,Siraha,Nepal,033-560810,,,,,,2009-11-07
Everest College,Thapathali,Kathmandu,Nepal,"00977-1-4266652,4231460,4229653",,bishnu@evecol.com,,www.evecol.com,,2009-11-07
Everest College of Multiple Studies (ECMS),Golkopakha,Kathmandu,Nepal,"00977-1-4352358,4352224","20407,Ktm",emc@emc.edu.np,,www.emc.edu.np,,2009-11-07
Everest College of Nursing,Imadol,Lalitpur,Nepal,"5202461,5202460",,info@everestcollegeofnursing.com,,www.everestcollegeofnursing.com,,2010-03-31
Everest Engineering & Management College,Buddhanagar,Kathmandu,Nepal,00977-1-4784644,,,"00977-9851140540,9851132500",,,2015-11-01
Everest English College,Galkopakha,Kathmandu,Nepal,"00977-1-4352224,4352358","20407,Ktm",aanup@wlink.com.np,,,,2009-11-07
Everest International College,Kalimati,Kathmandu,Nepal,"00977-1-4283972,4274590,4274593","19952,Ktm",everestic@gmail.com,,www.eicollegeedu.com,,2011-08-19
Examination Controller Office,Balkhu,Kathmandu,Nepal,00977-1-4283913,,,,,,2009-11-07
Excel Business College,NewBaneshwor,Kathmandu,Nepal,"00977-1-4485109,4462170","11973,Ktm",info@excelcollege.edu.np,,www.excelcollege.edu.np,,2009-11-16
"Excel International Education Group, London",Sankhamul,Kathmandu,Nepal,00977-1-4785553,,nepal@southlondoncollege.co.uk,,,,2009-11-07
Forestry Campus,Hetauda,Hetauda,Nepal,520618,,,,,,2009-11-07
Galaxy College,Gyaneshwor,Kathmandu,Nepal,"00977-1-4414584,4411362",,,,,,2010-07-20
Gandaki College of Engineering and Sciences,Lamachaur,Pokhara,Nepal,"440866,440944",,gces@gces.edu.np,,www.gces.edu.np,	440958,2009-11-07
