Name,Address,P.O.Box,Phone,Mobile,Email,Webpage,Fax,Country
Birendra Multiple Campus,Bharatpur,,056-520689,,,,,
Birendra Sainik Campus,Sallaghari,,"6610051,6610872",,sainikschool@bsamb.edu.np,,,
Birendranagar Multiple Campus,Birendranagar,,083-520228,,,,,
Birgunj Campus,Birgunj,,522580,,,,,
Birgunj Commerce Campus,Birgunj,,523485,,,,,
Bishnumati (BST) College,Gongabu,,"4354704,4353708",,bstcollege@wlink.com.np,www.bstcollege.edu.np,,
Bishow Niketan Science Campus,Tripureshwor,,4260996,,,,,
Bishwo Bhasa Campus,ExhibitionRoad,,"4226713,4228916",,vishwo@biva.wlink.com.np,www.bishwobhasa.edu.np,4255738,
Bishwo Vidhyalaya Vidhyapeeth,Dang,,082-529019,,,,,
Blue Bird College,Kumaripati,8975EPC2750,"5538944,5555142",,info@bluebird.edu.np,www.bluebird.edu.np,,
Bridgewater International College,Sinamangal,,4480069,,,,,
Bridgewater International College,Sinamangal,1731,"4480069,4481590",,iila.bimali@bridghewaternepal.com,www.bridgewaternepal.com,977-1-4439382,
Bright Vision College,Satdobato,,"5526776,5555864,5524066",,info@bvc.edu.np,ww.bvc.edu.np,,
Brihaspati College,"Siddharthanagar-5,Rupandehi",,522944,,,,521540,
Brihaspati Vidayasadan,"BalmandirCompaund,Naxal",7763,"4419878,4418030",,info@bvs.edu.np,www.bvs.edu.np,977-14441421,
Brijlalkedia Hindu University,Kalimati,"929,Ktm","4281934,4281734,4270730",,bhudav@wlink.com.np,,4270973,
Brijlalkedia Hindu University,Birgunj,"77,Birgunj","521382,522092",,kedia@atcnet.com.np,,522560,
Brilliant Multiple Campus,Siphal,,"4478687,4488714",,,,,
British Gurkha College,Bansbari,8975,4017806,,bgc@graduate.org,www.britishgurkhacollege.com.np,4378483,
Brookfield Int'l College,Sinamanagal,,"4110646,4492597",,info@brookfield.edu.np,www.brookfield.edu.np,977-1-4110573,
Brookfield International College,Sinamangal,,"4110646,4492597",,info@brookfield.edu.np,www.brookfield.edu.np,4110573,
Butwal Campus,SiddharthaRoad,,542834,,,,,
Cambridge College,Kuleshwor,"12765,Ktm","4277063,4279626",,,www.cambridgecollege.edu.np,,
Campion Academy,Kumaripati,"1415,Ktm","5535131,5537959",,campion@academy.wlink.com.np,www.campion.edu.np,4423724,
Campion College,Kupondole,"1415,Ktm","5521753,5531436",,ccollege@wlink.com.np,www.campion.edu.np,4423724,
Campion College,Kupondole,32733,5521753,,ccollege@wilink.com.np,,535822,
Campion Head Office,KamalPokhari,,4422986,,,,,
Campion Kathmandu College,Gahanapokhari,"1415,Ktm","4431494,4431495",,ckcedu@mos.com.np,www.campion.edu.np,4423724,
Canvas Int'l  College,Basundhara,,"4380304,4354280",,info@canvascollege.edu.np,www.canvascollege.edu.np,4354280,
Capital College & Research Center,Koteshwor,"9737,Ktm","4602056,4600723",,ccrc@wlink.com.np,www.ccrc.edu.np,4600369,
Capital College & Research Center,Koteshwor,9737,"4600723,4602056",,ccrc@wlink.com.nepal,,,
Capitol Hill College,Teku,,2003303,,capitolhill@wlink.com.np,,4270345,
Caribbean College of Management,"Jawalakhel,Lalitpur",,"5550676,5537314,9851000326",,,,,
Caribbean College of Management,Manbhawan,8975EPC2974,"5550676,5537314",,info@caribbean.edu.np,www.caribbean.edu.np,,
Caspian Valley College,Kumaripati,8975EPC2685,"5524065,5554208",,info@caspian.edu.np,,,
caspian valley college,Newroad,,014224748,9851234486,snd.int2014@gmail.com,www.sndint.com.np,,Nepal
CCA School of Accountancy,"Putalisadak,Kathmandu",44600,+97714240913,9851077182,cca.nepal@gmail.com,www.cca.edu.np,9851077182,Nepal
CCAM College P. Ltd.,Putalisadak,,4440708,,,,,
Central Campus,Maharajgunj,"1524,Ktm","4422973,4422971",,mcampus@healthnet.org.np,,4423771,
Central Campus,Rampur,,"056-529303,581003",,,,,
Central Campus,Pokhara,,520469,,,,,
Central College Nepal,Panipokhari,,4413493,,centralnepal@mos.com.np,www.centralcollege.edu.au,4417696,
Central Department of Population Studies,Kirtipur,,"4331323,4331323",,cdps@wlink.com.np,www.cdps.edu.np,4331324,
Central Technological Campus,Dharan,,"520228,526530",,,,,
Centre For Professional Studies (COPROS),NewBaneshwor,,"4781224,4780650",,,,,
Chahana Int'l College,Kapan,,"4479017,4811753",,,,,
Chaitanya Campus,"Banepa,Kavrepalanchowk",,661722,,,,,
Chakrabarti Habi Education Academy,BaneshworHeight,,4467061,,info@clc.edu.np,www.clc.edu.np,4467061,
Chartered Acedamic International,Putalisadak,,"4258512,4223651",,,,,
Chartered Institute of Management & Accountancy P.Ltd. (CIMA),Putalisadak,,"4426955,4436537",,,,,
Chaturbhujeshwor Janata Campus,"Hariban,Sarlahi",,046-529413,,,,,
Chautara Campus,Chautara,,620142,,,,,
Chelsea International Academy,"LakhechaurMarg,NewBaneshwor",25201,"4472902,4499662,4483212",,mail@chelseainternational.com.np,www.chelseainternational.com.np,4490446,
Chitwan Medical College,Kathmandu,,4005042,,admin@cmc.edu.np,www.cmc.edu.np,,
Chitwan Medical College,Bharatpur,,"532933,532936",,,,,
CIT College,Baneshwor,,4498885,,,,,
CIT College & Higher Secondary School,Subidhanagar,9685,"4111840,4111655,2052677",,info@citnepal.edu.np,www.citnepal.edu.np,,
Citizen College,Satdobato,,"5545684,5545685",,info@citizencollege.edu.np,www.citizencollege.edu.np,,
City College,Tinkune,,41118400,,,,,
City College In Kathmandu,Panipokhari,,4416268,,,,,
Classic College International (CCI),Tilganga,,"4110433,4110135,016225708",,,,,
College for Higher Education,Birtamod,,"023-540016,540045",,,,,
College for Professional Studies Pvt. Ltd.,Maitidevi,,"4411805,4424431",,info@lbef.org,www.lbef.org,4443468,
College for Professional Studies Pvt. Ltd.,HanumanDasRoad,,526113,,cps@ntc.net.np,www.lbef.org,,
College for Professional Studies Pvt. Ltd.,BhanuChowk,,523887,,cps@lbef.org,www.lbef.org,,
College for Professional Studies Pvt. Ltd.,Birgunj,,526555,,cps@lbef.org,www.lbef.org,,
College for Professional Studies Pvt. Ltd.,Pokhara,,535735,,cps@lbef.org,www.lbef.org,,
College of Applied Business,TangalDurbar,,4445763,,cab@wlink.com.np,www.cab.edu.np,4445763,
College of Applied Engineering,Kalimati,,4283166,,,,,
College Of Applied Science,Satdobato,,5533392,,,,,
College Of Applied Sciences Nepal,Anamangar,9303,"4102687,6211842",,casnepal@gmail.com,www.casnepal.edu.np,,
College of Biomedical Engineering & Applied Science,Hadigaun,"12521,Ktm","4441467,4437822",,info@biomedical.edu.np,www.biomedical.edu.np,,
College of Business & Social Studies,Morang,,525540,,,,,
College of Business Management,"GurjuMarg,DillibazarHeight",3261,"4418869,4439716",,info@cbm.edu.np,www.cbm.edu.np,,
College of Computer Technology,Butwal,,"540879,546479",,,,545555,
College of Development Studies,PuranoBaneshwor,"2708,Ktm",4471130,,cdsnepal@mail.com.np,www.cds.edu.np,4478945,
College of Education,Nepalgunj,,520310,,,,,
College of Entrance Preparation,Putalisadak,,4247202,,,,,
College of Informationa Technology & Engineering,Subidhanagar,12277,"4111503,4111840",,,www.cit.edu.np,4111655,
College of Journalism & Mass Communication,Tinkune,23498,2070740,,manju.cjmc@gmail.com,www.cjmc.edu.np,,
College Of Professional Studies Pvt. Ltd.,Maitidevi,,"4411805,4424431",,,,,
College of Sofware Engineering,Bhaktapur,,6617788,,,,,
College Of Technical Sciences,Bagdol,,"2210038,5547479",,,,,
Columbus College,NewBaneshwor,"23728,Ktm","4781747,4784883",,columbus@wlink.com.np,www.columbus.edu.np,,
"Conflict, Peace and Development Studies",Baneshwor,,4462988,,info@cpds-tu.edu.np,www.cpds-tu.edu.np,,
Cosmos College of Management & Technology,Tutepani(NearSatdobato),,"5548704,5546211",,info@cosmoscollege.edu.np,www.cosmoscollege.edu.np,5548936,
Cosmos International College,PalikheChowk,,541324,,info@cosmos.edu.np,www.cosmos.edu.np,"404,Pkr",
Cosmos International College,"Pokhara,kaski",404,541324,,www.cosmos.edu.np,,,
CPS College,Kumaripati,8975EPC2766,"5528419,5537695",,info@cps.edu.np,www.cps.edu.np,5537695,
CPS Higher Secondary School,Godawari,8975EPC1669,"5560888,5560818",,cpsgodawari@wlink.com.np,,5560154,
Crimsion Int'l College,NewBaneshwor,,"4784628,4782414",,info@crimson.edu.np,www.crimson.edu.np,,
Crimson College of Technology,Butwal,,"546479,540879",,cct@nec.com.np,www.cct.edu.np,549879,
Crimson International College,ShankhamulChowk,,"4784628,4782414",,info@crimson.edu.np,www.crimson.edu.np,,
Crystal  College,Kamalpokhari,,4434099,,,,,
Dadeldhura Campus,Dadeldhura,,096-420189,,,,,
Damak Campus,Damak,,023-580132,,,,,
Dav College of Management,"Jawalakhel,Lalitpur",929,"5534426,5536626",,info@davcollege.edu.np,www.davcollegenepal.com,5546440,
Deepshanti Prabidhik Sikshalay,"BahiniChowk,Tulsipur-6,Dang,Nepal22412",,+97782523352,,info@dstcofficial.com,www.dstcofficial.com,,Nepal
Devdaha Medical College & Research Institute Pvt. Ltd.,Rupandehi,,"621800,9857027633",,,,,
Dhangadhi Engineering College,Dhangadhi,,091-521312,,,,,
Dhankuta Campus,Dhankuta,,520297,,,,,
Dharan Campus,Dharan,,"520288,520150",,,,,
Dhaurali Campus,Teku,,4240092,,,,,
Dhulabari Campus,"Dhulabari,Jhapa",,023-560397,,,,,
Dhulikhel Sanjeevani Campus,"Dhulikhel,Kavre",,490074,,dhulikhelcampus@hotmail.com,www.collegenepal.com/dhulikhel,,
Diamond College,NarayanGopalChowk,,4017603,,info@diamondcollege.edu.np,www.diamondcollege.edu.np,,
Dillibazar Kanya Campus,Dillibazar,,4418118,,,,,
Doti Multiple Campus,Doti,,"094-420110,420159",,,,,
Drabyashah Multiple Campus,Gorkha,,064-420228,,,,,
Dronachal Education Campus,Dailekh,,089-429514,,,,,
East-West College Of International Education,Bagbazar,,"4242525,4238084",,eastwest@lang.wlink.com.np,www.eastwest.edu.np,,
Eastern Campus,Dharan,,520411,,,,,
Eastern College of Engineering,Biratnagar,,"526925,538412",,eascoll_1@hotmail.com,,,
Eastern Engineering Campus,GangalalMarga,,520120,,,,520405,
ED-mark College Wisdom Academy,kalanki,11430,"4270881,4672759",,,,,
Edmark College,Kalanki,,"4270881, 4672759",,info@edmark.edu.np,www.edmark.edu.np,,
Einstein Academy Higher Secondary School & College,MahalaxmiChowk,8975EPC719,"5530818,5544739",,krrai@wlink.com.np,www.einsteinacademynepal.com,5001755,
Emile Academy International,Baneshwor,,"4622184,4620725",,thapateacher@yahoo.com,,,
Everest College,"Lahan-4,Siraha",,033-560810,,,,,
Everest College,Thapathali,,"4266652,4231460",,info@evecol.com,www.evecol.com,,
Everest College of Multiple Studies (ECMS),Golkopakha,"20407,Ktm","4352224,4352358",,emc@emc.edu.np,www.emc.edu.np,,
Everest College of Nursing,"Imadol-5,Lalitpur",,"5202461,5202460",,info@everestcollegeofnursing.com,www.everestcollegeofnursing.com,,
Everest Engineering College,Gongabu,,4363024,,,,,
Everest English College,Galkopakha,"20407,Ktm","4352224,4352358",,aanup@wlink.com.np,,,
Everest Florida HSS,Shantinagargate,,4620522/523,,,www.everestflorida.com,,
Everest International College,Soltimode,,"2030200,4274590,4274593",,admission@evecol.com,www.eicollegeedu.com,,
Excel International College,Handigaun,,"4431670,6912771",,info@excelcollege.edu.np,www.excelcollege.edu.np,,
Forestry Campus,Hetauda,,520618,,,,,
Fverest International College & Higher Secondary School,Soalteemode,,"4274590,4274593",,,,,
FW Taylor H. S. & College,Kalikasthan,,4418046,,,,,
Galaxy Global College,Gyaneshwor,4901,"4411362,4410076",,galaxy@enet.com.np,www.galaxy.edu.np,4416989,
Gandaki College of Engineering and Sciences,Lamachaur,,"440866,440944",,gces@gces.edu.np,www.gces.edu.np,440958,
Gandaki Medical College,PrithiviChowk,,"538595,526044,207130",,admin@gmc.edu.np,www.gmc.edu.np,550254,
Gandaki Medical College,Kathmandu,,2295251,,,,,
Garud Technical College,"Pokhara-14,Kaski,Nepal",,(061)534995,,garud.college@outlook.com,,,Nepal
Gateway College for Professional Studies,SamakhusiTownPlanning,,4361747,,email@professionalstudies.edu.np,www.professionalstudies.edu.np,4414046,
Gauradaha Campus,"Gauradaha,Jhapa",,023-529744,,,,,
Gauri Shanker Campus,"Charikot,Dolkha",,049-420124,,,,,
Gauri Shanker Campus,Ramechap,,048-520321,,,,,
Gauri Shanker Campus,Pokhara,,521637,,,,,
Gauri Shanker Yadav Campus,"Gaur,Rautahat",,055-520327,,,,,
Gauriganj Campus,"Gauriganj,Jhapa",,023-529844,,,,,
Gautam Buddha Faculty of Environment Science,KediaSewaGram,"20,Birgunj","528793,522092",,kedia@atcnet.com.np,,522086,
Gautam Buddha It & Management College,Maitidevi,,4411805,,,,,
GEMS Institute Of Higher  Education,Dhapakhel,,"500311,5003131",,,,,
Geomatic Institute of Technology,Buddhanagar,,4784379,,surveycollegenepal@gmail.com,,,
Glacier International,Shantinagar,,"4107509,4107802",,,,,
Global Academy of Tourism & Hospitality Education,Mandikhatar,"9562,Ktm","4376048,4650176",,info@gate.edu.np,www.gate.edu.np,4781139,
Global College,Lagankhel,,"5523374,5554641",,,,,
Global College Of Management,MidBaneshwor,,"4488312,4472083",,nibbsta@yahoo.com,www.globalcollege.edu.np,,
Global College of Management,Mid-Baneshwor,24835,"4488312,4475254",,info@proed.edu.np,www.proed.edu.np,4472083,
Global Village College,Lagankhel,,"5522521,5523374",,,,,
Goethelnstitue CXenter Nepal,Thapathali,,4250871,,,,,
Golden Gate Int'l College,Battisputali,"4059,Ktm","4477082,4495165",,info@goldengate.edu.np,www.goldengate.edu.np,4466795,
Goldengate Int'l College (GGIC),"Battisputali,Kathmandu",4059,"4477082,4466795,4495165",,,,,
Gorkha Campus,Gorkha,,064-420233,,,,,
GPMNC Nursing Campus,Baluwater,,4437491,,,,,
Gramin Adarsha Multiple Campus,NepalTar,"23683,Ktm","4354124,4481704/5",,,,,
Grand Academy College of Science & Management,Kumaripati,,"5536119,5538278",,,,,
Greenfield International College,Baphal,"21771,Ktm",4672553,,info@greenfield.edu.np,www.greenfield.edu.np,,
Gupteshwor Campus,Parbat,,067-420145,,,,,
Gyan Bigyan Higher Secondary School,Lagankhel,,"5528970,5552860",,info@gbhss.edu.np,www.gbhss.edu.np,5552860,
Gyan Kunja College,"Rabibhavan,Sunargaun",,"4272831,4272334,4270133",,gyankunj@hons.com.np,,,
Gyanodaya College,Sanepa,,"5521741,5548419",,grs@wlink.com.np,,,
Hajarijanak Vidhyapeeth,Dhanusha,,520665,,,,,
Hanumanteswor Campus,Dolkha,,049-429161,,,,,
Harihar Sanskrit Vidhyapeeth,Arghakhanchi,,077-429356,,,,,
Harikhetan Campus,"Birgunj,Parsa",,522961,,,,,
Helpline Educational ServicesP.Ltd.,Lazimpat,,5515431,,,,,
Hetauda Campus,Hetauda,,520453,,,,529303,
Hetauda School of Management,Makawanpur,,520766,,,,,
Higher Education,Sanothimi,,"6631362,6630848",,,,,
Himala Darshan Campus,Solukhumbhu,,038-621220,,,,,
Himalaya Academy of Travel and Tourism,Thamel,,4423932,,,,,
Himalaya College,Siphal,"24502,Ktm","4471579,4472879",,hvm@wlink.com.np,,,
Himalaya College of Engineering,Sankhamul,,"4782016,4782634",,,,,
Himalayan College for Learning Excellance,Handigaun,,"4431670,6912770",,hicole@wlink.com.np,www.hicole.edu.np,,
Himalayan College of Agricultural Sciences & Technology (HICAST),Gatthaghar,"25535,Ktm",6630762,,hicast@wlink.com.np,www.hicast.edu.np,,
Himalayan College Of Geomatic Engineering & Resources Management,Handigaon,,4430897,,,,,
Himalayan College Of Health Sciences,Kapan,,"4810671,4812500",,,,,
Himalayan Institute of Science & Technology,NewBaneshwor,9639,4784951,,hist@wlink.com.np,www.hist.edu.np,4784954,
Himalayan Nursing Campus,Satdobato,,"5203551,2230095",,hncg@wlink.com.np,,,
Himalayan Open College,OldBaneshwor,,4476685,,,www.himalayan.edu.np,,
Himalayan White House Int'l College,NewBaneshwor,"9026,Ktm","4487562,4494138",,info@whitehouse.edu.np,www.whitehouse.edu.np,4474851,
Hope International College,Satdobato,8975EPC1365,"5545167,5544736",,hope@mos.com.np,www.hopenepal.com,,
IATA Campus of Hospitality Management,Kantipath,,"4254104/06,4233192",,info@iataacademy.com,www.iataacademy.com,,
Ichm Hotel Management College,Shantinagar,,"4107788,9851116386",,,,,
IEC School of Art & Fashion,AdarshNagar,,231874,,,,,
IEC School of Art & Fashion,MainRoad,,521330,,,,,
IEC School of Art & Fashion,StationRoad,,523841,,,,,
IEC School of Art & Fashion,Bhairahawa,,540109,,,,,
IEC School of Art & Fashion,Baghbazar,,"4247475,4247528",,ieckn@rediffmail.com,www.iecsaf.com,4247528,
IEC School of Art & Fashion,Chipledhunga,,522136,,,www.iecsaf.com,,
IIST Collage,Sinamangal,,4110544,,info@iistnepal.com,www.iistnepal.com,,
IIST College,Sinamangal,,"4110544,2239730",,info@ilstnepal.com,www.iistenepal.com,,
IIST College,Sinamangal,,4110544,,,,,
Indreswor Campus,Panauti,,661322,,,,,
Infomax College of Information Technology & Management,Ranipauwa,,535735,,mail@icitm.edu.np,www.icitm.edu.np,521342,
Informatics College,KamalPokhari,,"4412929,4420054",,info@infomatics.edu.np,www.informatics.edu.np,,
"Institute of Advanced Communication, Education & Research",Baneshwor,,"4471915,4467528",,info@iacer.edu.np,www.iacer.edu.np,,
"Institute of Advanced Communication, Education & Research (IACER)",OldBaneshwor,"21959,Ktm","4471915,4467528",,iacer@wlink.com.np,www.iacer.edu.np,,
Institute of Banking & Mangement (IBM) Studies,Bagbazaar,8973NPC613,4259955,,info@ibmstudies.com.np,www.ibmstudies.com.np,4241994,
"Institute of Crisis Management Studies,Samarpan Academy","Dhumbarahi,04",4181,+97714008181,+97719841856748,info@tuicms.edu.np,www.tuicms.edu.np,,Nepal
Institute of Engineering,Pulchowk,"1915,Ktm","5521251,5521531",,cesioe@healthnet.org.np,,5525830,
Institute of Forestry,Pokhara,,521563,,,,,
Institute of Management Studies,Thapathali,"215,Ktm","4253250,2030239",,info@imsnepal.edu.np,www.imsnepal.edu.np,2030239,
Institute of Medicine,Maharajgunj,"1524,Ktm","4418187,4410911,4412040",,iomdean@iom.edu.np,www.iom.edu.np,4418186,
Institute of Open Learning,Bijulibazar,,4487086,,,,4487086,
Intensive International Academy,"Maru,Bhimsensthan",,"4265726,4261179",,info@intensive.edu.np,www.intensive.edu.np,,
Intensive International College,Teku,,4242319,,,,,
International Center For Academics (ICA),Gyaneshwor,8973NPC841,"4445540,2042289",,ica@ica.edu.np,www.ica.edu.np,,
International College Of Hospitality Management (LCCI),"NewBaneshwor,ShantinagarGate",,"4107788,4107834",,ichmnepal@gmail.com,www.ichm.edu.np,+9771-1-4107788,
International Hotel Management School,"Lainchour,Kathmandu",8856,9851040079,,samir@americanhospitalityacademy.com,www.ahahotelschools.com,,
International School  Of Tourism & Hotrel Management,Dillibazar,5196,"4434350,4434185",,info@ist.org.np,www.ist.org.np,"97714434177,4109026",
International School of Management & Technology,Tinkune,8975EPC5216,"4485278,4485279",,administration@ismt.edu.np,www.ismt.edu.np,,
International School of Tourism & Hotel Management,Dillibazar,"5196,Ktm","4434350,4434185",,info@ist.org.np,www.ist.org.np,4434177,
IOM-CPSP Linkage Programme (T.U. Institute of Medicine),Maharajgunj,"2758,Ktm",4416224,,cpsp@iomdit.org.np,,4416224,
Jagannath Campus,Baitadi,,095-520170,,,,,
Jaljala Higher Secondary School,Nardevi,"3347,Ktm","4255521,4259659",,sr_maskey@hotmail.com,,,
Jana Adarsha Campus,"Thimi,Bhaktapur",,6633733,,grthimi@hotmail.com,,,
Jana Bhawana Campus,Chapagaon,,5570512,,,,4422100,
Jana Bikash College/Institute with CMB Univ.,"Lekhnath,Kaski(Gandaki)",,(061)432601,,janabikash2@gmail.com,,,Nepal
Jana Jyoti Campus,Mahendranagar,,099-523831,,,,,
Janajyoti Campus,"Lalbandi,Sarlahi",,"046-529000,529113",,,,,
Janaki Medical College Teaching Hospital,Janakpur,,"5241741,524214",,info@jmcedu.com,,,
Janakpur Campus,"Janakpur,Dhanusha",,"520191,521087",,,,,
Janakpur Engineering College,Dhanusha,,525646,,,,,
Janamaitri Multiple Campus,KuleshworHeight,,"4277202,4286283",,info@janamaitri.edu.np,www.janamaitri.edu.np,,
Janapremi College,Kaushaltar,,"6630967,6914696",,gess@wlink.com.np,,,
